train_loss,val_loss,train_acc,val_acc
0.08076634258031845,0.7411087155342102,1.0,0.85
0.09838301688432693,0.5271740555763245,1.0,0.8
0.11433043330907822,0.7033372521400452,1.0,0.725
0.24244336783885956,0.2335127890110016,0.95,0.95
0.15294599533081055,0.7216599583625793,0.975,0.825
0.18120437860488892,0.310223251581192,0.9,0.95
0.1179954782128334,0.5574519634246826,0.95,0.825
0.09774105250835419,0.7992874383926392,0.975,0.7
0.17967121303081512,0.7365554571151733,0.95,0.8
0.2591093182563782,0.3528970181941986,0.875,0.9
0.1126602441072464,0.6918591260910034,0.95,0.8
0.06311699002981186,0.8184090852737427,1.0,0.7
0.19605715572834015,1.3928354978561401,0.925,0.625
0.10324440151453018,1.0295840501785278,0.975,0.725
0.12299337238073349,0.7865433692932129,0.975,0.7
0.24719801545143127,0.5654314756393433,0.875,0.85
0.2737617492675781,0.6998699307441711,0.9,0.8
0.24644283950328827,0.9052899479866028,0.95,0.825
0.32096999883651733,0.9185417294502258,0.875,0.775
0.28317689895629883,1.485154390335083,0.925,0.6
0.11278698593378067,0.8364561796188354,0.975,0.725
0.1471879780292511,1.0752427577972412,0.9,0.65
0.1355607807636261,1.053899884223938,0.95,0.65
0.1097729355096817,1.0624123811721802,0.975,0.65
0.30634790658950806,0.49141034483909607,0.925,0.775
0.2230042964220047,0.4223915636539459,0.9,0.825
0.13879981637001038,0.5035094022750854,0.925,0.85
0.17924949526786804,0.4072432518005371,0.925,0.85
0.20612433552742004,0.4767588973045349,0.95,0.8
0.11749021708965302,1.2099515199661255,1.0,0.675
0.2894749939441681,0.8011773824691772,0.9,0.7
0.20842421054840088,0.6553646326065063,0.9,0.75
0.09104833751916885,0.7366036176681519,1.0,0.775
0.10410717874765396,0.8781893849372864,0.975,0.725
0.03488702327013016,0.9666946530342102,1.0,0.7
0.021654551848769188,1.0004863739013672,1.0,0.75
0.18146082758903503,0.9393640756607056,0.975,0.775
0.05360380932688713,0.7012099623680115,0.975,0.85
0.09362474083900452,0.6685145497322083,0.975,0.825
0.13726045191287994,0.9399800300598145,0.975,0.75
0.15878108143806458,1.2521528005599976,0.95,0.7
0.09639839082956314,0.994720458984375,0.925,0.7
